CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"9136","HONR 300","1","The Evolution of Physics","3","  HON","Lec","TR","1100-1215","TRIB 1210","Heddle, David","0","Closed",
"9138","HONR 309","1","Life Through the Lens","3","  HON","Lec","TR","1500-1615","FERG 208","Skees, Kristin","3","Open",
"9139","HONR 317","1","Youth Violence","3","  HON","Lec","TR","1330-1445","TRIB 1210","Waldron, Linda","0","Closed",
"9140","HONR 331","1","Adventures in Shondaland","3","  HON","Lec","TR","0930-1045","MCM 212","Meyer, Michaela","0","Closed",
"9141","HONR 333","1","Gothic:Literature, Art, &amp; Film","3","  HON","Lec","TR","1630-1745","MCM 314","Carney, Jason","0","Closed",
"9196","HONR 345","1","Science on the Stage","3","  HON","Lec","TR","1330-1445","FERG 210","Gillman, Denise","1","Open",
"9225","HONR 354","1","Computer Science &amp; Theology","3","  HON","Lec","TR","1630-1745","LUTR 323","Siochi, Antonio","3","Open",
"9142","HONR 360","1","Arguing about Education","3","  HON","Lec","TR","1500-1615","MCM 207","Steiner, Mark","0","Closed",
"9143","HONR 363","1","The Human across Cultures","3","  HON","Lec","TR","0930-1045","MCM 210","Jelinek, Elizabeth","0","Closed",
"9214","HONR 369","1","Science Of Evil","3","  HON","Lec","MWF","1400-1450","FORBES 2012","Dow, Gayle","0","Closed",
"9144","HONR 381","1","Major-Related Indpdnt Study","0 - 3","  HON","Ind","","","ARR ","Paul, Jay","0","Closed",
"9145","HONR 382","1","HNRS: Civic Engagement","0 - 3","  HON","Pra","","","ARR ","Paul, Jay","15","Open",
"9146","HONR 382","2","HNRS: Civic Engagement","0 - 3","  HON","Pra","","","ARR ","Paul, Jay","36","Open",
