CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8532","HIST 112","ON3","The Modern World","3","  AIGM","Lec","MWF","1300-1350","SYN ","Puaca, Brian","1","Open",
"8533","HIST 112","ON4","The Modern World","3","  AIGM","Lec","MWF","1400-1450","SYN ","Puaca, Brian","8","Open",
"8537","HIST 121","1","Early America to the Civil War","3","  AIDE  ","Lec","TR","0800-0915","MCM 210","White, William","5","Open",
"8541","HIST 121","5","Early America to the Civil War","3","  AIDE  ","Lec","MWF","1100-1150","MCM 212","Wood, Elizabeth","0","Closed",
"8543","HIST 121","7M","Early America to the Civil War","3","  AIDE  ","Lec","MWF","1300-1350","FERG 201","Harshman, Matthew","4","Open",
"8540","HIST 121","ON1","Early America to the Civil War","3","  AIDE  ","Lec","MWF","1000-1050","SYN ","Shuck-Hall, Sheri","1","Open",
"8538","HIST 121","ON2","Early America to the Civil War","3","  AIDE  ","Lec","MWF","0800-0850","SYN ","Linden Brooks, Sarah","0","Closed",
"8539","HIST 121","ON3","Early America to the Civil War","3","  AIDE  ","Lec","MWF","0900-0950","SYN ","Linden Brooks, Sarah","0","Closed",
"8542","HIST 121","ON4","Early America to the Civil War","3","  AIDE  ","Lec","MWF","1200-1250","SYN ","Wood, Elizabeth","0","Closed",
"8544","HIST 122","1","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","0900-0950","FORBES 2070E","Harshman, Matthew","3","Open",
"8549","HIST 122","6M","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","TR","0930-1045","LUTR 376","Allison, James","0","Closed",
"8550","HIST 122","7","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","TR","1100-1215","LUTR 376","Allison, James","0","Closed",
"8551","HIST 122","8","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","1400-1450","FERG 201","Harshman, Matthew","2","Open",
"8545","HIST 122","ON1","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","1000-1050","SYN ","Sellars, Nigel","2","Open",
"8546","HIST 122","ON2","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","1100-1150","SYN ","Sellars, Nigel","5","Open",
"8547","HIST 122","ON3","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","TR","0930-1045","SYN ","Puaca, Laura","0","Closed",
